dataset_index,relative_path,class_name,class_index,handcrafted_index,handcrafted_prediction,handcrafted_confidence,handcrafted_correct,frozen_index,frozen_prediction,frozen_confidence,frozen_correct,fine_tuned_index,fine_tuned_prediction,fine_tuned_confidence,fine_tuned_correct,comparison_category,fine_tuned_error
396,eurosat/2750/AnnualCrop/AnnualCrop_1355.jpg,AnnualCrop,0,6,PermanentCrop,0.6961860607771786,False,6,PermanentCrop,0.978419435,False,6,PermanentCrop,0.96236783,False,both_wrong,True
21554,eurosat/2750/River/River_1047.jpg,River,8,0,AnnualCrop,0.7346263941574773,False,0,AnnualCrop,0.782567757,False,0,AnnualCrop,0.94824576,False,both_wrong,True
17693,eurosat/2750/PermanentCrop/PermanentCrop_272.jpg,PermanentCrop,6,6,PermanentCrop,0.5707590946981318,True,6,PermanentCrop,0.45659281,True,3,Highway,0.54776245,False,new_error_after_fine_tuning,True
7850,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_2664.jpg,HerbaceousVegetation,2,7,Residential,0.572766056175559,False,3,Highway,0.950342557,False,3,Highway,0.99008185,False,both_wrong,True
16752,eurosat/2750/PermanentCrop/PermanentCrop_1676.jpg,PermanentCrop,6,2,HerbaceousVegetation,0.5275184527448322,False,6,PermanentCrop,0.708384109,True,0,AnnualCrop,0.80255413,False,new_error_after_fine_tuning,True
8524,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_570.jpg,HerbaceousVegetation,2,8,River,0.3486569309106198,False,2,HerbaceousVegetation,0.45628758,True,7,Residential,0.988588,False,new_error_after_fine_tuning,True
23106,eurosat/2750/River/River_2444.jpg,River,8,8,River,0.6274963206441383,True,3,Highway,0.934705389,False,3,Highway,0.99965787,False,both_wrong,True
16677,eurosat/2750/PermanentCrop/PermanentCrop_1608.jpg,PermanentCrop,6,2,HerbaceousVegetation,0.8402303824847411,False,6,PermanentCrop,0.672448346,True,0,AnnualCrop,0.7460055,False,new_error_after_fine_tuning,True
14301,eurosat/2750/Pasture/Pasture_127.jpg,Pasture,5,1,Forest,0.4544167326188945,False,0,AnnualCrop,0.973069815,False,0,AnnualCrop,0.98490673,False,both_wrong,True
17570,eurosat/2750/PermanentCrop/PermanentCrop_2411.jpg,PermanentCrop,6,6,PermanentCrop,0.5207135252262604,True,6,PermanentCrop,0.526527757,True,2,HerbaceousVegetation,0.98300856,False,new_error_after_fine_tuning,True
12345,eurosat/2750/Industrial/Industrial_176.jpg,Industrial,4,4,Industrial,0.579811788347776,True,3,Highway,0.477333012,False,3,Highway,0.883923,False,both_wrong,True
20163,eurosat/2750/Residential/Residential_2496.jpg,Residential,7,4,Industrial,0.9950019249512292,False,4,Industrial,0.992051558,False,4,Industrial,0.9994642,False,both_wrong,True
10238,eurosat/2750/Highway/Highway_2112.jpg,Highway,3,7,Residential,0.491140579521206,False,3,Highway,0.660980292,True,4,Industrial,0.8563323,False,new_error_after_fine_tuning,True
11308,eurosat/2750/Highway/Highway_826.jpg,Highway,3,8,River,0.5313639346694768,False,8,River,0.672065235,False,8,River,0.75706345,False,both_wrong,True
2704,eurosat/2750/AnnualCrop/AnnualCrop_732.jpg,AnnualCrop,0,9,SeaLake,0.8934715736358815,False,5,Pasture,0.902928433,False,5,Pasture,0.978223,False,both_wrong,True
14897,eurosat/2750/Pasture/Pasture_1806.jpg,Pasture,5,5,Pasture,0.4990540755378634,True,5,Pasture,0.585343479,True,8,River,0.9961344,False,new_error_after_fine_tuning,True
9864,eurosat/2750/Highway/Highway_1777.jpg,Highway,3,3,Highway,0.326537586085901,True,3,Highway,0.874183236,True,0,AnnualCrop,0.9960626,False,new_error_after_fine_tuning,True
17920,eurosat/2750/PermanentCrop/PermanentCrop_477.jpg,PermanentCrop,6,6,PermanentCrop,0.5129576298294422,True,6,PermanentCrop,0.501001454,True,2,HerbaceousVegetation,0.85417676,False,new_error_after_fine_tuning,True
18376,eurosat/2750/PermanentCrop/PermanentCrop_888.jpg,PermanentCrop,6,6,PermanentCrop,0.465572110221349,True,8,River,0.279456932,False,0,AnnualCrop,0.54726577,False,both_wrong,True
8266,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_338.jpg,HerbaceousVegetation,2,2,HerbaceousVegetation,0.4020973286331483,True,1,Forest,0.467914363,False,1,Forest,0.68325144,False,both_wrong,True
8495,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_544.jpg,HerbaceousVegetation,2,6,PermanentCrop,0.5153453825177219,False,2,HerbaceousVegetation,0.518860528,True,6,PermanentCrop,0.6555555,False,new_error_after_fine_tuning,True
19780,eurosat/2750/Residential/Residential_2150.jpg,Residential,7,4,Industrial,0.4021987442558069,False,7,Residential,0.471376798,True,4,Industrial,0.68779767,False,new_error_after_fine_tuning,True
17728,eurosat/2750/PermanentCrop/PermanentCrop_303.jpg,PermanentCrop,6,6,PermanentCrop,0.4497821111682171,True,6,PermanentCrop,0.970047506,True,2,HerbaceousVegetation,0.63952386,False,new_error_after_fine_tuning,True
10034,eurosat/2750/Highway/Highway_193.jpg,Highway,3,0,AnnualCrop,0.4913085224476305,False,0,AnnualCrop,0.807260914,False,0,AnnualCrop,0.5288239,False,both_wrong,True
16099,eurosat/2750/PermanentCrop/PermanentCrop_1088.jpg,PermanentCrop,6,6,PermanentCrop,0.3879471857094431,True,7,Residential,0.684808457,False,7,Residential,0.9768629,False,both_wrong,True
16863,eurosat/2750/PermanentCrop/PermanentCrop_1776.jpg,PermanentCrop,6,3,Highway,0.3508831226906465,False,0,AnnualCrop,0.97220028,False,0,AnnualCrop,0.9664364,False,both_wrong,True
16938,eurosat/2750/PermanentCrop/PermanentCrop_1843.jpg,PermanentCrop,6,2,HerbaceousVegetation,0.5457699303356742,False,2,HerbaceousVegetation,0.970449789,False,2,HerbaceousVegetation,0.9989484,False,both_wrong,True
23102,eurosat/2750/River/River_2440.jpg,River,8,8,River,0.4656277292491874,True,8,River,0.922647734,True,9,SeaLake,0.98087585,False,new_error_after_fine_tuning,True
23364,eurosat/2750/River/River_426.jpg,River,8,1,Forest,0.8876953988486384,False,1,Forest,0.903381941,False,1,Forest,0.8713817,False,both_wrong,True
17549,eurosat/2750/PermanentCrop/PermanentCrop_2393.jpg,PermanentCrop,6,6,PermanentCrop,0.7379604664281079,True,2,HerbaceousVegetation,0.933168859,False,2,HerbaceousVegetation,0.98893285,False,both_wrong,True
19616,eurosat/2750/Residential/Residential_2002.jpg,Residential,7,7,Residential,0.5016794114985362,True,4,Industrial,0.983060978,False,4,Industrial,0.9993358,False,both_wrong,True
6740,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1665.jpg,HerbaceousVegetation,2,9,SeaLake,0.8685812006376892,False,9,SeaLake,0.387032446,False,9,SeaLake,0.67460763,False,both_wrong,True
21531,eurosat/2750/River/River_1026.jpg,River,8,8,River,0.3285103758112669,True,3,Highway,0.562028034,False,3,Highway,0.7138302,False,both_wrong,True
10954,eurosat/2750/Highway/Highway_507.jpg,Highway,3,7,Residential,0.922204238878728,False,3,Highway,0.461810924,True,7,Residential,0.9422208,False,new_error_after_fine_tuning,True
18309,eurosat/2750/PermanentCrop/PermanentCrop_827.jpg,PermanentCrop,6,5,Pasture,0.4886051799710109,False,0,AnnualCrop,0.870848052,False,0,AnnualCrop,0.9998229,False,both_wrong,True
15883,eurosat/2750/Pasture/Pasture_894.jpg,Pasture,5,5,Pasture,0.9198210143191652,True,8,River,0.708064057,False,0,AnnualCrop,0.91434443,False,both_wrong,True
14536,eurosat/2750/Pasture/Pasture_1481.jpg,Pasture,5,5,Pasture,0.6206898834976681,True,1,Forest,0.784221383,False,1,Forest,0.7962512,False,both_wrong,True
23786,eurosat/2750/River/River_806.jpg,River,8,2,HerbaceousVegetation,0.3009214943810135,False,3,Highway,0.793718789,False,3,Highway,0.99650335,False,both_wrong,True
14474,eurosat/2750/Pasture/Pasture_1425.jpg,Pasture,5,1,Forest,0.938555718235741,False,1,Forest,0.883049318,False,1,Forest,0.7921178,False,both_wrong,True
16614,eurosat/2750/PermanentCrop/PermanentCrop_1551.jpg,PermanentCrop,6,6,PermanentCrop,0.6106730163622711,True,0,AnnualCrop,0.866169251,False,0,AnnualCrop,0.60040754,False,both_wrong,True
9730,eurosat/2750/Highway/Highway_1656.jpg,Highway,3,0,AnnualCrop,0.521473738687271,False,3,Highway,0.766043874,True,6,PermanentCrop,0.9033682,False,new_error_after_fine_tuning,True
8118,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_2905.jpg,HerbaceousVegetation,2,2,HerbaceousVegetation,0.5025250047486679,True,2,HerbaceousVegetation,0.431470039,True,6,PermanentCrop,0.96324426,False,new_error_after_fine_tuning,True
14071,eurosat/2750/Pasture/Pasture_1062.jpg,Pasture,5,9,SeaLake,0.7809607586147723,False,5,Pasture,0.392454053,True,0,AnnualCrop,0.6166369,False,new_error_after_fine_tuning,True
23646,eurosat/2750/River/River_680.jpg,River,8,8,River,0.7863012148360764,True,3,Highway,0.711660719,False,3,Highway,0.9999999,False,both_wrong,True
23261,eurosat/2750/River/River_333.jpg,River,8,8,River,0.8975025814828803,True,8,River,0.649507108,True,0,AnnualCrop,0.5357595,False,new_error_after_fine_tuning,True
6343,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1307.jpg,HerbaceousVegetation,2,2,HerbaceousVegetation,0.7456239727378886,True,2,HerbaceousVegetation,0.962995063,True,5,Pasture,0.926384,False,new_error_after_fine_tuning,True
16997,eurosat/2750/PermanentCrop/PermanentCrop_1897.jpg,PermanentCrop,6,6,PermanentCrop,0.666647414382394,True,6,PermanentCrop,0.897109334,True,4,Industrial,0.9334308,False,new_error_after_fine_tuning,True
2331,eurosat/2750/AnnualCrop/AnnualCrop_397.jpg,AnnualCrop,0,0,AnnualCrop,0.5280692747565755,True,6,PermanentCrop,0.923874408,False,6,PermanentCrop,0.9598051,False,both_wrong,True
14648,eurosat/2750/Pasture/Pasture_1582.jpg,Pasture,5,5,Pasture,0.8547979685219099,True,0,AnnualCrop,0.926935993,False,0,AnnualCrop,0.9889254,False,both_wrong,True
17513,eurosat/2750/PermanentCrop/PermanentCrop_2360.jpg,PermanentCrop,6,0,AnnualCrop,0.7575589879732585,False,0,AnnualCrop,0.99183203,False,0,AnnualCrop,0.89495945,False,both_wrong,True
17739,eurosat/2750/PermanentCrop/PermanentCrop_313.jpg,PermanentCrop,6,0,AnnualCrop,0.954843552502625,False,6,PermanentCrop,0.772350513,True,0,AnnualCrop,0.75265557,False,new_error_after_fine_tuning,True
18463,eurosat/2750/PermanentCrop/PermanentCrop_966.jpg,PermanentCrop,6,6,PermanentCrop,0.3790374230229105,True,0,AnnualCrop,0.842119934,False,0,AnnualCrop,0.91840136,False,both_wrong,True
13018,eurosat/2750/Industrial/Industrial_2365.jpg,Industrial,4,4,Industrial,0.6252353639853695,True,7,Residential,0.995550175,False,7,Residential,0.9993538,False,both_wrong,True
18367,eurosat/2750/PermanentCrop/PermanentCrop_88.jpg,PermanentCrop,6,6,PermanentCrop,0.4146871928582424,True,6,PermanentCrop,0.763831095,True,0,AnnualCrop,0.7055416,False,new_error_after_fine_tuning,True
1881,eurosat/2750/AnnualCrop/AnnualCrop_2692.jpg,AnnualCrop,0,9,SeaLake,0.9210686612470644,False,0,AnnualCrop,0.411650922,True,9,SeaLake,0.8613665,False,new_error_after_fine_tuning,True
20239,eurosat/2750/Residential/Residential_2564.jpg,Residential,7,7,Residential,0.6650038260085055,True,6,PermanentCrop,0.515934875,False,4,Industrial,0.75055254,False,both_wrong,True
1369,eurosat/2750/AnnualCrop/AnnualCrop_2230.jpg,AnnualCrop,0,0,AnnualCrop,0.5975521334525566,True,0,AnnualCrop,0.727140513,True,6,PermanentCrop,0.9786864,False,new_error_after_fine_tuning,True
6344,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1308.jpg,HerbaceousVegetation,2,1,Forest,0.5258432764258619,False,5,Pasture,0.671452252,False,5,Pasture,0.87773645,False,both_wrong,True
14835,eurosat/2750/Pasture/Pasture_1750.jpg,Pasture,5,5,Pasture,0.8991139350401046,True,1,Forest,0.820959268,False,1,Forest,0.8719961,False,both_wrong,True
18410,eurosat/2750/PermanentCrop/PermanentCrop_918.jpg,PermanentCrop,6,2,HerbaceousVegetation,0.8490074263368013,False,2,HerbaceousVegetation,0.667639616,False,2,HerbaceousVegetation,0.869487,False,both_wrong,True
15370,eurosat/2750/Pasture/Pasture_431.jpg,Pasture,5,5,Pasture,0.948328292769219,True,0,AnnualCrop,0.667234856,False,0,AnnualCrop,0.9996922,False,both_wrong,True
22120,eurosat/2750/River/River_1557.jpg,River,8,8,River,0.8864470853413634,True,3,Highway,0.576085546,False,3,Highway,0.45746896,False,both_wrong,True
18134,eurosat/2750/PermanentCrop/PermanentCrop_67.jpg,PermanentCrop,6,0,AnnualCrop,0.9410591291587816,False,0,AnnualCrop,0.629790751,False,0,AnnualCrop,0.69097537,False,both_wrong,True
6989,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_189.jpg,HerbaceousVegetation,2,2,HerbaceousVegetation,0.3878597680070338,True,2,HerbaceousVegetation,0.933520683,True,6,PermanentCrop,0.6897694,False,new_error_after_fine_tuning,True
9728,eurosat/2750/Highway/Highway_1654.jpg,Highway,3,8,River,0.5753551371790663,False,8,River,0.693925174,False,8,River,0.96472234,False,both_wrong,True
10302,eurosat/2750/Highway/Highway_2170.jpg,Highway,3,3,Highway,0.3551573086901978,True,5,Pasture,0.7157339,False,5,Pasture,0.96022314,False,both_wrong,True
15766,eurosat/2750/Pasture/Pasture_789.jpg,Pasture,5,5,Pasture,0.5180312740772055,True,5,Pasture,0.968876143,True,0,AnnualCrop,0.99953306,False,new_error_after_fine_tuning,True
6861,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1774.jpg,HerbaceousVegetation,2,2,HerbaceousVegetation,0.5922804797008424,True,1,Forest,0.519465756,False,1,Forest,0.74826473,False,both_wrong,True
6377,eurosat/2750/HerbaceousVegetation/HerbaceousVegetation_1338.jpg,HerbaceousVegetation,2,1,Forest,0.6953248026068595,False,1,Forest,0.573656361,False,5,Pasture,0.60194635,False,both_wrong,True
